id,month,region,main_category,sub_category,product_line,price_tier,units_sold,revenue_usd,online_sales_percentage,retail_price
1,November,India,Equipment,Bags,Gym Sack,Budget,48356,14506800,73,300
2,January,India,Equipment,Accessories,Hats,Budget,9842,2066820,50,210
3,October,India,Apparel,Tops,Tech Fleece,Mid-Range,25079,1755530,90,70
4,December,Greater China,Footwear,Cricket,Vapor Cricket,Premium,41404,8694840,58,210
5,May,Greater China,Equipment,Socks,Performance Socks,Premium,33569,5371040,53,160
6,October,Japan,Apparel,Performance,Dri-FIT,Premium,39344,5508160,73,140
7,December,Japan,Footwear,Cricket,Vapor Cricket,Budget,30197,6945310,50,230
8,July,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,42814,6422100,55,150
9,April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,16489,2473350,78,150
10,February,Europe,Footwear,Cricket,Vapor Cricket,Mid-Range,43626,10033980,86,230
11,September,Greater China,Equipment,Accessories,Bags,Mid-Range,41006,5330780,75,130
12,June,South Korea,Equipment,Socks,Performance Socks,Premium,41901,12570300,63,300
13,May,America,Equipment,Socks,Crew Socks,Mid-Range,18843,4522320,59,240
14,November,India,Equipment,Bags,Backpack,Budget,35160,7032000,86,200
15,December,Greater China,Equipment,Socks,Performance Socks,Mid-Range,33581,6716200,73,200
16,June,America,Apparel,Tops,Tech Fleece,Mid-Range,41641,8744610,61,210
17,April,America,Apparel,Outerwear,Rain Jacket,Premium,39934,7986800,83,200
18,March,Greater China,Footwear,Lifestyle,Air Force 1,Budget,48973,8815140,81,180
19,July,India,Equipment,Accessories,Bags,Budget,46622,10723060,62,230
20,August,Greater China,Footwear,Running,React Infinity,Budget,30262,4539300,51,150
21,March,Japan,Apparel,Outerwear,Windrunner,Mid-Range,10853,2279130,74,210
22,October,America,Equipment,Socks,Crew Socks,Premium,33059,4297670,59,130
23,July,America,Apparel,Outerwear,Windrunner,Mid-Range,16670,4834300,81,290
24,August,Europe,Apparel,Tops,Therma-FIT,Budget,44274,7969320,82,180
25,July,Greater China,Apparel,Performance,Dri-FIT,Premium,47805,2390250,52,50
26,August,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,48747,12186750,77,250
27,July,India,Equipment,Bags,Gym Sack,Mid-Range,8478,423900,57,50
28,March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,42986,9027060,53,210
29,December,America,Apparel,Performance,Dri-FIT,Budget,41744,8348800,65,200
30,January,America,Apparel,Performance,Dri-FIT,Budget,39919,10378940,52,260
31,September,Japan,Footwear,Basketball,Air Jordan,Budget,46314,10652220,55,230
32,June,South Korea,Equipment,Socks,Performance Socks,Budget,16396,3935040,50,240
33,November,Europe,Apparel,Performance,Compression Wear,Budget,44734,10736160,75,240
34,September,Europe,Equipment,Accessories,Hats,Premium,33895,8473750,74,250
35,October,Japan,Equipment,Bags,Backpack,Premium,31834,7003480,71,220
36,August,India,Apparel,Tops,Therma-FIT,Premium,29827,1491350,79,50
37,April,Southeast Asia,Equipment,Bags,Gym Sack,Premium,48873,10752060,80,220
38,October,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,23473,4459870,74,190
39,June,Southeast Asia,Equipment,Socks,Performance Socks,Premium,18279,1096740,83,60
40,September,America,Apparel,Outerwear,Windrunner,Budget,33577,8730020,56,260
41,February,South Korea,Apparel,Performance,Compression Wear,Mid-Range,40762,4076200,57,100
42,October,Japan,Footwear,Running,Air Zoom,Budget,24432,2687520,54,110
43,August,India,Footwear,Football,Mercurial,Budget,10546,2636500,55,250
44,September,Southeast Asia,Equipment,Socks,Crew Socks,Budget,7956,1113840,56,140
45,January,South Korea,Apparel,Performance,Compression Wear,Premium,10277,1233240,70,120
46,September,America,Footwear,Running,Air Zoom,Premium,26396,6862960,50,260
47,October,America,Footwear,Lifestyle,Air Max,Premium,43122,7330740,76,170
48,April,Southeast Asia,Footwear,Basketball,KD Series,Premium,44636,5802680,81,130
49,December,India,Footwear,Football,Mercurial,Mid-Range,48740,5848800,83,120
50,December,Greater China,Apparel,Tops,Tech Fleece,Premium,38854,4662480,86,120
51,January,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,35377,4952780,90,140
52,March,India,Apparel,Outerwear,Windrunner,Budget,23608,6846320,69,290
53,July,Greater China,Apparel,Outerwear,Windrunner,Mid-Range,19958,3792020,78,190
54,February,Japan,Footwear,Basketball,LeBron Series,Mid-Range,46508,5580960,61,120
55,November,Greater China,Equipment,Accessories,Bags,Mid-Range,42942,6441300,60,150
56,May,Europe,Apparel,Performance,Compression Wear,Budget,41525,11627000,51,280
57,January,Southeast Asia,Footwear,Football,Mercurial,Budget,35468,4610840,72,130
58,November,Southeast Asia,Apparel,Tops,Tech Fleece,Premium,10473,2513520,65,240
59,October,South Korea,Footwear,Cricket,Vapor Cricket,Budget,36845,4421400,72,120
60,July,South Korea,Footwear,Football,Phantom Vision,Budget,19956,3791640,60,190
61,April,South Korea,Equipment,Accessories,Bags,Premium,28886,6354920,54,220
62,June,Japan,Equipment,Accessories,Bags,Premium,21063,5476380,89,260
63,October,Japan,Apparel,Performance,Dri-FIT,Premium,29308,4396200,77,150
64,September,Southeast Asia,Equipment,Bags,Gym Sack,Budget,27448,3568240,51,130
65,January,South Korea,Equipment,Bags,Backpack,Mid-Range,43996,7039360,81,160
66,March,India,Apparel,Performance,Compression Wear,Budget,12796,1663480,85,130
67,July,Southeast Asia,Equipment,Bags,Backpack,Mid-Range,20670,3513900,89,170
68,April,Japan,Equipment,Accessories,Bags,Budget,14434,4330200,77,300
69,March,America,Footwear,Lifestyle,Air Max,Premium,37917,7204230,86,190
70,April,America,Apparel,Tops,Therma-FIT,Premium,31268,2814120,61,90
71,November,Greater China,Apparel,Outerwear,Rain Jacket,Premium,27420,7403400,50,270
72,February,South Korea,Equipment,Bags,Backpack,Budget,49926,3494820,74,70
73,November,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,38355,4219050,74,110
74,August,South Korea,Footwear,Basketball,KD Series,Budget,35303,7413630,81,210
75,January,South Korea,Footwear,Basketball,KD Series,Budget,9847,2067870,72,210
76,June,Europe,Apparel,Tops,Tech Fleece,Premium,21735,3042900,77,140
77,December,America,Footwear,Cricket,Vapor Cricket,Premium,45961,6434540,58,140
78,May,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,18692,3364560,83,180
79,October,Greater China,Apparel,Outerwear,Windrunner,Premium,46766,9820860,60,210
80,March,Japan,Footwear,Lifestyle,Blazer,Mid-Range,6244,874160,86,140
81,February,India,Equipment,Socks,Performance Socks,Premium,30045,7210800,73,240
82,November,Japan,Footwear,Cricket,Vapor Cricket,Budget,29193,5838600,89,200
83,January,Greater China,Equipment,Bags,Gym Sack,Budget,17746,2839360,78,160
84,July,Japan,Apparel,Performance,Dri-FIT,Mid-Range,15402,4312560,85,280
85,February,America,Equipment,Socks,Crew Socks,Mid-Range,18455,3321900,87,180
86,February,Southeast Asia,Footwear,Football,Mercurial,Mid-Range,24769,6439940,52,260
87,February,South Korea,Apparel,Tops,Therma-FIT,Budget,5936,1009120,73,170
